id_usuario,id_filme,dt_ini_assistido,dt_fim_assistido,resenha,nota
1,185,2016-01-01,2017-01-01,Nao gostei,4
1,232,2002-01-01,2003-01-01,Indiferente,7
1,297,2000-01-01,2001-01-01,Pessimo,4
1,91,2005-01-01,2006-01-01,Adorei,9
1,392,2008-01-01,2009-01-01,Mediano,6
1,477,2010-01-01,2011-01-01,Ruim,4
2,11,2007-01-01,2008-01-01,Meu preferido,10
2,101,2009-01-01,2010-01-01,Mais ou menos,5
2,199,2014-01-01,2015-01-01,Veria de novo,6
2,404,1994-01-01,1995-01-01,Muito bom,8
2,373,2002-01-01,2003-01-01,Nao gostei,5
2,426,1997-01-01,1998-01-01,Indiferente,4
2,449,2004-01-01,2005-01-01,Pessimo,4
3,45,2016-01-01,2017-01-01,Adorei,10
3,49,2014-01-01,2015-01-01,Mediano,4
3,66,2009-01-01,2010-01-01,Ruim,6
3,78,2016-01-01,2017-01-01,Meu preferido,10
3,254,2015-01-01,2016-01-01,Mais ou menos,7
3,392,2008-01-01,2009-01-01,Veria de novo,8
4,153,2017-01-01,2018-01-01,Muito bom,7
4,187,2004-01-01,2005-01-01,Nao gostei,5
4,204,2004-01-01,2005-01-01,Indiferente,6
4,231,2003-01-01,2004-01-01,Pessimo,4
4,234,2000-01-01,2001-01-01,Adorei,7
5,7,2011-01-01,2012-01-01,Mediano,5
5,27,2017-01-01,2018-01-01,Ruim,3
5,75,2015-01-01,2016-01-01,Meu preferido,8
5,129,2010-01-01,2011-01-01,Mais ou menos,4
5,91,2005-01-01,2006-01-01,Veria de novo,9
6,35,2014-01-01,2015-01-01,Muito bom,7
6,145,2015-01-01,2016-01-01,Nao gostei,5
6,161,2015-01-01,2016-01-01,Indiferente,3
6,308,2015-01-01,2016-01-01,Pessimo,6
6,426,1997-01-01,1998-01-01,Adorei,8
6,438,2009-01-01,2010-01-01,Mediano,5
6,473,2006-01-01,2007-01-01,Ruim,4
7,119,2008-01-01,2009-01-01,Meu preferido,7
7,143,2007-01-01,2008-01-01,Mais ou menos,4
7,284,2010-01-01,2011-01-01,Veria de novo,9
7,301,1998-01-01,1999-01-01,Muito bom,8
7,185,2016-01-01,2017-01-01,Nao gostei,3
7,404,1994-01-01,1995-01-01,Indiferente,6
8,326,2013-01-01,2014-01-01,Pessimo,4
8,379,2003-01-01,2004-01-01,Adorei,8
8,409,2003-01-01,2004-01-01,Mediano,7
8,404,1994-01-01,1995-01-01,Ruim,5
9,351,2001-01-01,2002-01-01,Meu preferido,7
9,400,2007-01-01,2008-01-01,Mais ou menos,6
9,416,2013-01-01,2014-01-01,Veria de novo,6
10,64,2006-01-01,2007-01-01,Muito bom,3
10,279,2002-01-01,2003-01-01,Nao gostei,4
11,51,2011-01-01,2012-01-01,Indiferente,3
11,81,2013-01-01,2014-01-01,Pessimo,1
11,313,2011-01-01,2012-01-01,Adorei,7
11,185,2016-01-01,2017-01-01,Mediano,5
12,307,2010-01-01,2011-01-01,Ruim,7
12,316,2002-01-01,2003-01-01,Meu preferido,9
12,404,1994-01-01,1995-01-01,Mais ou menos,6
12,388,1998-01-01,1999-01-01,Veria de novo,6
12,407,2012-01-01,2013-01-01,Muito bom,10
12,475,2016-01-01,2017-01-01,Nao gostei,7
13,201,2015-01-01,2016-01-01,Indiferente,5
13,269,2000-01-01,2001-01-01,Pessimo,3
13,329,2004-01-01,2005-01-01,Adorei,6
13,395,2012-01-01,2013-01-01,Mediano,6
14,258,2012-01-01,2013-01-01,Ruim,5
14,263,2002-01-01,2003-01-01,Meu preferido,10
14,303,2011-01-01,2012-01-01,Mais ou menos,4
14,370,2004-01-01,2005-01-01,Veria de novo,7
15,404,1994-01-01,1995-01-01,Muito bom,3
15,203,2015-01-01,2016-01-01,Nao gostei,5
15,496,2013-01-01,2014-01-01,Indiferente,6
15,498,2003-01-01,2004-01-01,Pessimo,4
16,13,2007-01-01,2008-01-01,Adorei,8
16,199,2014-01-01,2015-01-01,Mediano,7
16,271,2016-01-01,2017-01-01,Ruim,6
16,292,2005-01-01,2006-01-01,Meu preferido,10
16,384,1997-01-01,1998-01-01,Mais ou menos,3
16,464,1999-01-01,2000-01-01,Veria de novo,6
17,112,2008-01-01,2009-01-01,Muito bom,8
17,333,2002-01-01,2003-01-01,Nao gostei,4
17,357,2010-01-01,2011-01-01,Indiferente,6
17,437,2014-01-01,2015-01-01,Pessimo,2
17,478,2001-01-01,2002-01-01,Adorei,8
18,68,2010-01-01,2011-01-01,Mediano,6
18,222,2003-01-01,2004-01-01,Ruim,4
18,243,2016-01-01,2017-01-01,Meu preferido,10
18,357,2010-01-01,2011-01-01,Mais ou menos,5
19,11,2007-01-01,2008-01-01,Veria de novo,6
19,43,2011-01-01,2012-01-01,Muito bom,7
19,199,2014-01-01,2015-01-01,Nao gostei,3
19,363,2016-01-01,2017-01-01,Indiferente,5
19,395,2012-01-01,2013-01-01,Pessimo,2
19,91,2005-01-01,2006-01-01,Adorei,9
19,481,2001-01-01,2002-01-01,Mediano,6
19,493,2016-01-01,2017-01-01,Ruim,4
20,65,2017-01-01,2018-01-01,Meu preferido,7
20,91,2005-01-01,2006-01-01,Mais ou menos,6
20,411,2013-01-01,2014-01-01,Veria de novo,10
